indicator,indicator_name,roads_n,SMAPE_ETS_mean,SMAPE_CatBoost_mean,Improvement_%
TRAIN_KM,Объем поездо-километровой работы,16,1.3393,1.0047,24.98
LOSS_12_COUNT,"Количество отказов в работе технических средств по 1, 2 категориям",16,7.3683,3.8624,47.58
LOSS_12_SUM,"Потери поездо-часов из-за отказов в работе технических средств по 1, 2 категориям",16,9.3248,5.3629,42.49
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,16,6.171,4.1379,32.95
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,16,8.2935,5.3632,35.33
LOSS_TECH_COUNT,Количество технологических нарушений,16,5.7584,3.4223,40.57
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,16,8.163,4.2297,48.18
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,16,4.3712,2.696,38.32
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,16,5.9367,3.3816,43.04
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,16,6.1986,3.5283,43.08
