indicator,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
loss_12,Двост,115.2326,107.856,6.4
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Окт,68.2348,60.6036,11.18
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Заб,136.3849,153.4394,-12.5
loss_3,Клнг,112.6739,130.782,-16.07
loss_3,Окт,116.608,116.2791,0.28
loss_tech,Двост,80.3435,102.721,-27.85
loss_tech,Заб,98.0852,102.7889,-4.8
loss_tech,Клнг,108.5067,106.5791,1.78
loss_tech,Окт,93.0053,103.3863,-11.16
loss_total,Двост,74.1381,69.2527,6.59
loss_total,Заб,69.1686,72.487,-4.8
loss_total,Клнг,75.9899,76.2647,-0.36
loss_total,Окт,61.0282,56.5064,7.41
specific,Двост,68.3471,58.942,13.76
specific,Заб,60.1189,54.3803,9.55
specific,Клнг,73.5849,58.1294,21.0
specific,Окт,50.1645,46.2586,7.79
train_km,Двост,13.4734,14.3002,-6.14
train_km,Заб,9.3251,10.6811,-14.54
train_km,Клнг,10.0261,12.623,-25.9
train_km,Окт,16.5249,6.0427,63.43
